Bool With O3,,,
Network, states, time (ns), G states/s
passo_bool_1,10000000, Tempo: 139.33333333333334280724, M Estados/s: 71.77033492822965854430
passo_bool_2,10000000, Tempo: 303.00000000000000000000, M Estados/s: 33.00330033003299945449
passo_bool_3,10000000, Tempo: 358.00000000000000000000, M Estados/s: 27.93296089385475156064
passo_bool_5,10000000, Tempo: 330.66666666666668561447, M Estados/s: 30.24193548387096441843
passo_bool_6,10000000, Tempo: 467.00000000000000000000, M Estados/s: 21.41327623126338153270
passo_bool_7,10000000, Tempo: 379.00000000000000000000, M Estados/s: 26.38522427440633322249
passo_bool_8,10000000, Tempo: 503.66666666666668561447, M Estados/s: 19.85440105890138795530
passo_bool_9,10000000, Tempo: 159.33333333333334280724, M Estados/s: 62.76150627615062660425
TLF without AVX,,,
Network, states, time (ns), G states/s
passo_tlf_1,10000000, Tempo: 203.00000000000000000000, M Estados/s: 49.26108374384236299193
passo_tlf_2,10000000, Tempo: 349.66666666666668561447, M Estados/s: 28.59866539561486931120
passo_tlf_3,10000000, Tempo: 347.33333333333331438553, M Estados/s: 28.79078694817658501393
passo_tlf_5,10000000, Tempo: 430.00000000000000000000, M Estados/s: 23.25581395348837077108
passo_tlf_6,10000000, Tempo: 579.00000000000000000000, M Estados/s: 17.27115716753022667262
passo_tlf_7,10000000, Tempo: 505.66666666666668561447, M Estados/s: 19.77587343441001976885
passo_tlf_8,10000000, Tempo: 722.66666666666662877105, M Estados/s: 13.83763837638376337225
passo_tlf_9,10000000, Tempo: 444.66666666666668561447, M Estados/s: 22.48875562218890777899
TLF with AVX,,,
Network, states, time (ns), G states/s
passo_tlf_1,10000000, Tempo: 102.66666666666667140362, M Estados/s: 97.40259740259739373869
passo_tlf_2,10000000, Tempo: 170.66666666666665719276, M Estados/s: 58.59375000000000000000
passo_tlf_3,10000000, Tempo: 139.66666666666665719276, M Estados/s: 71.59904534606206993885
passo_tlf_5,10000000, Tempo: 206.00000000000000000000, M Estados/s: 48.54368932038835282583
passo_tlf_6,10000000, Tempo: 270.33333333333331438553, M Estados/s: 36.99136868064118743860
passo_tlf_7,10000000, Tempo: 238.66666666666665719276, M Estados/s: 41.89944134078212556460
passo_tlf_8,10000000, Tempo: 357.00000000000000000000, M Estados/s: 28.01120448179271704703
passo_tlf_9,10000000, Tempo: 270.00000000000000000000, M Estados/s: 37.03703703703703808969
